id,title,authors,languages,download_count,cover_image,url,subjects,copyright,publication_date
1,The United States Bill of Rights,United States,en,2547,https://www.gutenberg.org/cache/epub/1/pg1.cover.medium.jpg,https://www.gutenberg.org/ebooks/1,United States. Constitution,No,1971-12-01
11,Alice's Adventures in Wonderland,"Carroll, Lewis",en,125632,https://www.gutenberg.org/cache/epub/11/pg11.cover.medium.jpg,https://www.gutenberg.org/ebooks/11,Children's stories; Fantasy,No,1865-11-30
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary",en,98756,https://www.gutenberg.org/cache/epub/84/pg84.cover.medium.jpg,https://www.gutenberg.org/ebooks/84,Science fiction; Classics,No,1818-01-01
98,A Tale of Two Cities,"Dickens, Charles",en,87543,https://www.gutenberg.org/cache/epub/98/pg98.cover.medium.jpg,https://www.gutenberg.org/ebooks/98,Historical fiction,No,1859-04-01
100,The Complete Works of William Shakespeare,"Shakespeare, William",en,156234,https://www.gutenberg.org/cache/epub/100/pg100.cover.medium.jpg,https://www.gutenberg.org/ebooks/100,Drama; Plays,No,1623-01-01
2600,War and Peace,"Tolstoy, Lev",en,65432,https://www.gutenberg.org/cache/epub/2600/pg2600.cover.medium.jpg,https://www.gutenberg.org/ebooks/2600,Russia--History; Napoleonic Wars,No,1869-01-01
1661,Sherlock Holmes: A Scandal in Bohemia,"Doyle, Arthur Conan",en,54321,https://www.gutenberg.org/cache/epub/1661/pg1661.cover.medium.jpg,https://www.gutenberg.org/ebooks/1661,Detectives; Mystery,No,1892-06-01
45,Sense and Sensibility,"Austen, Jane",en,78654,https://www.gutenberg.org/cache/epub/45/pg45.cover.medium.jpg,https://www.gutenberg.org/ebooks/45,Romance; Regency,No,1811-10-30
121,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",en,142356,https://www.gutenberg.org/cache/epub/121/pg121.cover.medium.jpg,https://www.gutenberg.org/ebooks/121,Detective stories,No,1892-06-01
2701,Crime and Punishment,"Dostoevskii, Fedor",en,63245,https://www.gutenberg.org/cache/epub/2701/pg2701.cover.medium.jpg,https://www.gutenberg.org/ebooks/2701,Psychological fiction,No,1866-01-01
9,The Gutenberg Bible,"Gutenberg, Johannes",de,1245,,https://www.gutenberg.org/ebooks/9,Religious texts,No,1455-01-01
20,The Odyssey,Homer,en,34567,https://www.gutenberg.org/cache/epub/20/pg20.cover.medium.jpg,https://www.gutenberg.org/ebooks/20,Ancient literature; Epic,No,1872-01-01
1342,Pride and Prejudice,"Austen, Jane",en,289456,https://www.gutenberg.org/cache/epub/1342/pg1342.cover.medium.jpg,https://www.gutenberg.org/ebooks/1342,Romance; Regency,No,1813-01-28
514,Little Women,"Alcott, Louisa May",en,134567,https://www.gutenberg.org/cache/epub/514/pg514.cover.medium.jpg,https://www.gutenberg.org/ebooks/514,Coming of age; Family,No,1868-09-30
1080,The Picture of Dorian Gray,"Wilde, Oscar",en,76543,https://www.gutenberg.org/cache/epub/1080/pg1080.cover.medium.jpg,https://www.gutenberg.org/ebooks/1080,Gothic fiction; Aestheticism,No,1890-01-01
105,The Complete Sherlock Holmes,"Doyle, Arthur Conan",en,234567,https://www.gutenberg.org/cache/epub/105/pg105.cover.medium.jpg,https://www.gutenberg.org/ebooks/105,Detective stories,No,1927-01-01
4300,Ulysses,"Joyce, James",en,45678,https://www.gutenberg.org/cache/epub/4300/pg4300.cover.medium.jpg,https://www.gutenberg.org/ebooks/4300,Modernist literature; Dublin,No,1922-02-02
25344,The Great Gatsby,"Fitzgerald, F. Scott",en,156789,https://www.gutenberg.org/cache/epub/25344/pg25344.cover.medium.jpg,https://www.gutenberg.org/ebooks/25344,Jazz Age; American literature,No,1925-04-10
