id,title,authors,languages,download_count,cover_image,url,subjects,copyright,publication_date
1,"The United States Bill of Rights","United States","en",2547,"https://www.gutenberg.org/cache/epub/1/pg1.cover.medium.jpg","https://www.gutenberg.org/ebooks/1","United States. Constitution. Amendments, 1-10",No,1971-12-01
11,"Alice's Adventures in Wonderland","Carroll, Lewis","en",125632,"https://www.gutenberg.org/cache/epub/11/pg11.cover.medium.jpg","https://www.gutenberg.org/ebooks/11","Nonsense literature; Fantasy literature; Children's stories; Girls--Fiction",No,1865-11-30
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary","en",98756,"https://www.gutenberg.org/cache/epub/84/pg84.cover.medium.jpg","https://www.gutenberg.org/ebooks/84","Science fiction; Classics; Monsters--Fiction; Frankenstein, Victor (Fictional character)--Fiction; Reanimation--Fiction",No,1818-01-01
98,"A Tale of Two Cities","Dickens, Charles","en",87543,"https://www.gutenberg.org/cache/epub/98/pg98.cover.medium.jpg","https://www.gutenberg.org/ebooks/98","Historical fiction; France--History--Revolution, 1789-1799--Fiction; Psychological fiction; Love stories",No,1859-04-01
100,"The Complete Works of William Shakespeare","Shakespeare, William","en",156234,"https://www.gutenberg.org/cache/epub/100/pg100.cover.medium.jpg","https://www.gutenberg.org/ebooks/100","Drama; Plays; English literature--Early modern, 1500-1700",No,1623-01-01
2600,"War and Peace","Tolstoy, Lev","en",65432,"https://www.gutenberg.org/cache/epub/2600/pg2600.cover.medium.jpg","https://www.gutenberg.org/ebooks/2600","Russia--History--Napoleonic Wars--Fiction; Napoleonic Wars--Fiction; Russia--History--19th century--Fiction",No,1869-01-01
1661,"Sherlock Holmes: A Scandal in Bohemia","Doyle, Arthur Conan","en",54321,"https://www.gutenberg.org/cache/epub/1661/pg1661.cover.medium.jpg","https://www.gutenberg.org/ebooks/1661","Holmes, Sherlock (Fictional character)--Fiction; Detectives--Fiction; Short stories",No,1892-06-01
45,"Sense and Sensibility","Austen, Jane","en",78654,"https://www.gutenberg.org/cache/epub/45/pg45.cover.medium.jpg","https://www.gutenberg.org/ebooks/45","Regency fiction; Sisters--Fiction; England--Fiction; Coming of age--Fiction",No,1811-10-30
121,"The Adventures of Sherlock Holmes","Doyle, Arthur Conan","en",142356,"https://www.gutenberg.org/cache/epub/121/pg121.cover.medium.jpg","https://www.gutenberg.org/ebooks/121","Holmes, Sherlock (Fictional character)--Fiction; Detectives--Fiction; Short stories",No,1892-06-01
2701,"Crime and Punishment","Dostoevskii, Fedor","en",63245,"https://www.gutenberg.org/cache/epub/2701/pg2701.cover.medium.jpg","https://www.gutenberg.org/ebooks/2701","Russia--Saint Petersburg--Fiction; Psychological fiction; Murder--Fiction; Russia--19th century--Fiction",No,1866-01-01
